Név,Útszakasz
Kiskőrösi utca,7
Kiskőrös utca,2
Kiskörút,1
Kis körút,1
Kiskör út,2
Kiskőr út,3
Kiskör utca,1
Kiskorzó tér,4
Kiskosár utca,1
Kiskőszeg utca,2
Kiskovácsi utca,6
Kis-köves dűlő,1
Kisköves dűlő,1
Kisköveshegy utca,1
Kisköves utca,1
Kisköz,12
Kis köz,68
Kiskozári utca,3
Kisközép út,1
Kisközi utca,2
Kisköz köz,1
Kisköz út,1
Kisköz utca,30
Kis Kullai köz,1
Kiskun Farkas László utca,1
Kiskunfélegyházai út,13
Kiskunság tér,1
Kiskun sétány,2
Kiskun utca,3
Kiskúria utca,1
Kiskút dűlő,1
Kiskúti köz,1
Kiskúti út,5
Kiskuti utca,2
Kiskút köz,1
Kiskút liget,1
Kiskútújsor,1
Kiskút út,1
Kiskút utca,9
Kiskút útja,8
Kislábodi szőlők,1
Kislábodi utca,1
Kislakások utcája,1
Kislak utca,1
Kislápos út,1
Kis László dűlő,1
Kislátóhegyi utca,1
Kisliget,1
Kislilik utca,1
Kislippó utca,1
Kislisztesvölgy,1
Kisloki utca,1
Kislőtér utca,1
Kis Lugas köz,1
Kislujzihegy,1
Kislyukó dűlő,2
Kismagashegy,1
Kismagashegy dűlő,1
Kismagyar utca,1
Kismákfa utca,4
Kismáli dűlő,1
Kismáli út,1
Kismalom utca,4
Kismány dűlő,1
Kismarja utca,3
Kismartoni sor,2
Kismartoni út,3
Kismartoni utca,5
Kismarton köz,1
Kismarton utca,6
Kismegyeri út,6
Kis-Mély út,2
Kis-mélyvölgy,2
Kismélyvölgy dűlő,3
Kismélyvölgy-hegyhát dűlő,1
Kismeredek,1
Kis Merengő utca,1
Kismérés dűlő,1
Kismérges utca,1
Kismester utca,4
Kismeszesi utca,1
Kismezei utca,1
Kismező köz,1
Kismezőtanya,2
Kismező út,1
Kismező utca,19
Kismicske,4
Kismihálytó dűlő,1
Kis Mindszenti Iskola dűlő,3
Kis Mindszenti út,4
Kismosó tanösvény,2
Kismuhi utca,2
Kisnyárád utca,1
Kis nyírfa utca,4
Kisnyíri utca,1
Kisnyolcöles út,2
Kis Orgona köz,1
Kisoroszi kálvária,1
Kisoroszi út,5
Kisőrshegyi út,3
Kisörsi utca,6
Kis Összekötő út,1
Kis osztrák híd,1
Kis Osztrák Híd,1
Kispajtás utca,1
Kis Pákai út,2
Kispálhegyi út,1
Kispánd,1
Kispandúr sétány,1
Kispap utca,1
Kisparti utca,1
Kispásztor utca,1
Kispatak köz,1
Kispatak utca,3
Kispatéi út,1
Kis pék árka dűlő,1
Kispenci köz,1
Kispenci utca,1
Kisperbál lakópark,3
Kisperjési utca,3
Kisperjés utca,5
Kispesti utca,2
Kispest utca,6
Kispince utca,1
Kispiricsizma dűlő,2
Kisporond utca,1
Kisposta köz,1
Kisposta utca,1
Kispostavölgyi út,1
Kispostavölgy tető,2
Kispuszta,1
Kispusztai út,2
Kisrác utca,2
Kis Rákos utca,2
Kis-Répáskúti-völgy,1
Kisrét,3
Kisréti-híd,1
Kis-réti út,1
Kisréti utca,6
Kisrétkör,2
Kisrét utca,5
Kis Rókus utca,7
Kisrómahegyi utca,1
Kis Rudi köz,1
Kiss Albert utca,1
Kis Salétrom utca,2
Kiss and Ride,1
Kiss Antal utca,1
Kiss Áron utca,5
Kiss Attila út,1
Kiss Bálint utca,4
Kiss Benjamin utca,4
Kiss dűlő,1
Kiss Endre utca,1
Kiss Ernő köz,3
Kiss Ernő út,8
Kiss Ernő utca,174
KIss Ernő utca,1
Kiss Ferenc körút,2
Kiss Ferenc utca,4
Kiss Géza utca,1
Kiss György utca,4
Kiss Ignác út,2
Kiss Ignác utca,1
Kis Sikár út,1
Kiss Imre utca,2
Kiss István utca,6
Kiss János altábornagy út,1
Kiss János altábornagy utca,22
Kiss János köz,1
Kiss János sor,1
Kiss János út,5
Kiss János utca,66
Kiss János vezérezredes út,6
Kiss József utca,18
Kiss Károly utca,1
Kiss köz,3
Kiss Lajos utca,4
Kiss Mária út,1
Kiss Menyhért utca,2
Kis-Somlyó utca,7
Kis sor,1
Kis-sor,2
Kis Sörgyár utca,1
Kissori út,5
Kissor út,2
Kissor utca,2
Kissós utca,1
Kiss Pál út,2
Kiss Pál utca,1
Kiss Péter utca,1
Kiss & Ride,1
Kiss Sámuel utca,1
Kiss tábornok utca,13
Kis Stáció utca,1
Kiss út,4
Kiss utca,66
Kissvábhegyi út,2
Kisszállási út,1
Kis Szegedi út,2
Kis-Szegedi út,5
Kis-Szegedi út megmaradt része,1
Kisszegegyháza,3
Kisszékelyi bekötő,4
Kis Szélső utca,1
Kisszentgróti utca,1
Kisszentgrót út,1
Kisszentmiklósi utca,1
Kisszer tanya dűlő,1
Kissziki híd,1
Kisszik utca,3
Kisszkókó dűlő,6
Kisszohoda utca,1
Kis Szőlőhegy utca,2
Kisszőlőskert utca,1
Kisszőlős utca,1
Kisszőlő tanya,1
Kisszőlő utca,2
Kisszoros utca,3
Kiss Zsigmond utca,6
Kiss zug,1
Kis-szurdik,1
Kis-Tabán utca,2
Kistábor utca,1
Kistagok út,2
Kistag tanya,1
Kistag utca,1
Kistályai út,8
Kistanya utca,1
Kistarcsai köz,2
Kistarcsai utca,6
Kistarján út,1
Kistarnóca puszta,1
Kistegez utca,1
Kistelekibokori utca,1
Kisteleki Ede utca,2
Kistelekitanya,1
Kisteleki út,16
Kisteleki utca,7
Kistelek köz,1
Kistelek nyugati kerékpárút,1
Kistelek út,1
Kistelek utca,5
Kistelepi utca,1
Kistelep utca,1
Kistemető utca,6
Kistemplomtanya tér,1
Kistemplom utca,10
Kis tér,4
Kisterenyei út,1
Kisterenye utca,1
Kistétény köz,1
Kistétény utca,4
Kistex utca,1
Kistisza út,1
Kis Tisza utca,4
Kis-Tisza utca,2
Kistói út,5
Kistói utca,4
Kistokaji út,2
Kistolcsva utca,1
Kistöltés utca,2
Kistómalom utca,1
Kistópart utca,5
Kistorony park,1
Kistorony utca,1
Kis-tóti-völgy,4
Kistó utca,10
Kisújhegy utca,1
Kisújszállási út,7
Kisújszállási utca,2
Kisújszállás utca,1
Kisüsti utca,1
Kisút,2
Kis utca,184
Kisut utca,1
Kisváci köz,1
Kisvág utca,1
Kisvárdai út,2
Kisvárdai utca,1
Kisvárda keleti elkerülő,12
Kisvárda utca,2
Kisvásár tér,2
Kisvásár utca,1
Kisvashíd,1
Kisvasút sor,1
Kisvasút út,3
Kisvasút utca,20
Kisvénkert,1
Kisvesszőshalmi út,2
Kisvesszősi zárás,1
Kisviola utca,2
Kisvölgy dűlő,1
Kisvölgyi utca,1
Kisvölgy utca,5
Kisvorka utca,1
Kis Zápor utca,2
Kiszely András utca,1
Kiszely László utca,2
Kis-Zer tanya,5
Kiszsobrák utca,1
Kis zug,2
Kitaibel Pál utca,8
Kitaposott út,1
Kitelepítési emlékösvény,1
Kitérő út,17
Kittenberger Kálmán utca,14
Kittenberger út,4
Kittenberger-út,6
Kittenberger utca,1
Kittenberg sétány,1
Kivi utca,1
Klafszky Katalin utca,2
Klaipeda utca,2
Klapka György köz,1
Klapka György lakótelep,1
Klapka György út,20
Klapka György utca,163
Klapka József utca,1
Klapka köz,6
Klapka tábornok utca,2
Klapka telep,2
Klapka tér,7
Klapka út,1
Klapka utca,126
Klára dűlő,1
Klára köz,1
Kláratelep,1
Klára utca,15
Klastromi utca,1
Klastrompart sor,2
Klastrom utca,15
Klatsmányi híd,1
Klatsmányi Tibor híd,1
Klaus Klingler út,1
Klauzál Gábor tér,2
Klauzál Gábor utca,14
Klauzál tér,6
Klauzál utca,15
Klebelsberg Kuno tér,1
Klebelsberg Kuno utca,7
Klebelsberg Kunó utca,4
Klébl Márton utca,1
Kléh István utca,1
Klein köz,1
Klein Rönnau utca,1
Klementina utca,2
Klement utca,1
Klempa Károly köz,3
Kliegl József utca,1
Klimes utca,1
Klimó György utca,1
Klimpán köz,2
Klimsha Albert utca,1
Klinger Henrik utca,2
Klinker TÜZÉP,1
Klisovác utca,9
Klisovácz utca,3
Klopcsek köz,1
Klotild tér,1
Klotild utca,1
Klotz Miklós köz,1
Kmeth Sándor utca,1
Kmetty György utca,1
Kmetty János utca,1
Kmetty utca,1
Kmety György utca,4
Kmety utca,2
K. Mikszátha,1
Kmoskó Mihály utca,1
Knáb János utca,2
K. Nagy László utca,1
Knébl Antal utca,1
Kneipp ösvény,1
Kner Imre utca,2
Knézich Károly utca,25
Knézich köz,1
Knézich utca,15
Knézits Károly utca,3
Knézy Pál utca,1
Kniep sétány,2
Knipfer Tibor utca,1
Knoll József utca,1
Knoll-linia,2
Knorr János utca,2
KNP természetvédelmi terület,5
Kőalja dűlő,1
Kőaljai út,3
Kőaljai utca,1
Kőalja út,2
Kőalja utca,1
Kőároki út,3
Kobakhegy,1
Kobakkörte utca,2
Kőbányaaljai utca,2
Kőbánya dűlő,1
Kőbánya felső vá. aluljáró,1
Kőbányai lakótelep,2
Kőbányai pincerendszer bejárat,1
Kőbányai út,60
Kőbányai utca,2
Kőbánya sor,2
Kőbánya út,4
Kőbánya utca,42
Kőbárány utca,1
Kobilje,2
Köbli József utca,1
Köbölkúti utca,1
Köbölkút utca,2
Köböltó utca,1
Köböl utca,2
Köbölvölgy dűlő,2
Kóborló köz,1
Kóborlótanya,1
Kóbor utca,1
Koboz utca,2
Kobzos utca,3
Koccintó dűlő,1
Koccintó utca,1
Koch Aladár utca,1
Koch Róbert utca,5
Kockaház utca,1
Kocka utca,4
Kocogó utca,3
Kocor köz,1
Kócsa Ferenc utca,1
Kócsag köz,2
Kócsag út,1
Kócsag utca,60
Kócsagvár,1
Kocsándy utca,1
Kocsány utca,4
Kocsárd utca,1
Kocséri út,2
Kocsér utca,1
Kocsi köz,1
Köcsi lépcső,1
Kocsis Bernát utca,1
Kocsis dűlő,2
Kocsisházi utca,1
Kocsis Irma sor,1
Kocsis László utca,2
Kocsis Mihály utca,1
Kocsis Pál iskola autó bejáró,1
Kocsis Pál utca,10
Kocsis Sándor út,10
Kocsis Sándor utca,1
Kocsis utca,6
Kocsis Zoltán utca,1
Köcsi tó utca,3
Kocsi út,8
Kocsi utca,10
Kocsmáros utca,1
Kocsola utca,1
Kocsordi út,6
Kocsordosi utca,1
Kocsord út,1
Kocsord utca,1
Kocsoros út,5
Kocs utca,1
Kocsy-Mayer Gyula utca,2
Kóczán Mór utca,1
Kóczán út,2
Kóczián Sándor utca,1
Koczkás utca,2
Koczka utca,1
Koczor Sándor utca,1
Kóczos kertsor,1
Kodály körönd,8
Kodály köz,3
Kodály utca,12
Kodály Zoltán köz,3
Kodály Zoltán sétány,9
Kodály Zoltán tér,19
Kodály Zoltán út,15
Kodály Zoltán utca,308
Ködmön utca,2
Kodó dűlő,1
Kodó-dűlő,1
Kodolányi János tér,3
Kodolányi János utca,14
Kodolányi köz,1
Kodolányi tér,2
Kodolányi utca,1
Kodormány utca,1
Ködös utca,1
Kódó utca,1
Köd utca,4
Kőégető utca,1
Kőérberki dűlő,12
Kőérberki út,24
Kőér köz,3
Kőérpataki dűlőút,1
Kőér utca,29
Kőfal utca,4
Kőfaragó tér,7
Kőfaragó utca,9
Kőfejtő köz,1
Kőfejtő lejtő,3
Kőfejtő sor,2
Kőfejtő tető,1
Kőfejtő út,9
Kőfejtő utca,5
Köfém lakótelep,4
Koffán Károly út,1
Kőfolyás,1
Kőfülke utca,1
Kőfuvaros utca,2
Kőgát,1
Kőgát utca,2
Kőhalmi utca,4
Kőhalom utca,7
Kohán György utca,4
Kőhányás utca,1
Kőhányói utca,2
Kohári utca,2
Kőhárs utca,2
Koháry István körút,2
Koháry István út,1
Koháry István utca,9
Koháry út,12
Koháry utca,1
Kohász utca,7
Kőhát köz,1
Kőhát utca,8
Kőház sor,3
Kőhegyi út,12
Kőhegyi utca,1
Kőhegy lejtő,1
Kőhegy sétány,3
Kőhegy út,1
Kőhegy utca,14
kőhíd,1
Kőhíd,7
Kő híd,1
Kőhídi utca,2
Kőhíd-parti utca,1
Kőhíd tér,1
Kőhíd út,1
Kőhíd utca,17
Kohó utca,4
Kőhúr utca,2
Kói utca,3
Kókai László tér,1
Kókai utca,3
Kőkaloda utca,2
Kőkapu út,2
Kőkapu utca,3
Kokárda utca,8
Kokasdi utca,1
Kökény,1
Kökény dűlő,2
Kökényesi út,2
Kökényesi utca,3
Kökényes köz,2
Kökényes utca,10
Kökényi út,7
Kökény köz,5
Kökény Köz,1
Kökény lejtő,3
Kökénypuszta,1
Kökény sor,1
Kökényszeg utca,1
Kökény tér,2
Kökény út,1
Kökény utca,121
Kőkép utca,1
Kőkereszt dűlő,2
Kőkereszt tér,2
Kőkereszt utca,1
Kőkert utca,1
Kokilla tér,3
Kokilla út,1
Kokilla utca,3
Kökörcsin dűlő,4
Kökörcsin köz,1
Kökörcsin utca,47
Kőkorsó utca,3
Kokron József utca,1
Kokszolói főút,2
Koksz utca,4
Kókusz utca,1
Kőkút köz,1
Kőkútlapos dűlő,1
Kőkút út,3
Kőkút utca,5
Kőláb utca,1
Kolbai Károly utca,2
Kolbányi Géza utca,1
Kolbász sor,1
Kolbász szék utca,1
Kölcsey Ferenc tér,11
Kölcsey Ferenc út,34
Kölcsey Ferenc utca,364
Kölcsey köz,8
Kölcsey lakótelep,6
Kölcsey tér,7
Kölcsey út,9
Kölcsey utca,242
Kolduskert,1
Kolduskert dűlő,1
Koldusok hídja,1
Kol Erzsébet sétány,1
Kölesdi út,7
Kölesdi utca,1
Köleséri Sámuel utca,2
Kölesföld tanya,1
Kölesföld utca,1
Köleshalmi utca,3
Köles utca,11
Kölesy Vince utca,1
Kolibri utca,1
Kölkedi utca,1
Kollégiumi út,2
Kollégium köz,3
Kollégium utca,5
Koller utca,3
Kollwentz Ede utca,2
Kolmann utca,1
Köln utca,2
Kolónia utca,7
Kolonics György sétány,12
Kolonics György utca,4
Kölönte utca,1
Koloska utca,5
Kolostorhegy utca,2
Kolostor út,11
Kolostor utca,10
Kolosy tér,3
Koloszár udvar,1
Kóló tér,3
Kolozsi István utca,1
Kolozs köz,2
Kolozs utca,3
Kolozsvári György utca,2
Kolozsvári köz,1
Kolozsvári Tamás utca,1
Kolozsvári tér,6
Kolozsvári út,9
Kolozsvári utca,163
Kolozsvár körút,1
Kolozsvár köz,1
Kolozsvár tér,9
Kolozsvár utca,51
Kolping út,1
Kolta utca,2
Koltói Anna utca,13
Koltói utca,1
Költőkert,1
Költő-Nagy Imre utca,1
Költő utca,12
Kolumbusz utca,5
Kőlyuktetői pincesor,2
Kőlyuk út,9
Koma dűlő,1
Komakút tér,8
Kőmáli utca,1
Kómár Gyula utca,1
Komaromi,1
Komáromi Csipkés György tér,1
Komáromi János utca,2
Komáromi József utca,1
Komáromi köz,3
Komáromi út,11
Komáromi utca,68
Komárom utca,8
Komáromy utca,1
Koma utca,2
Kőmázsai út,1
Kombájn utca,2
Kombinát köz,1
Kömény utca,8
Kominka köz,1
Komiszkert,1
Kőmíves Kelemen sor,4
Komjádi Béla utca,3
Komját Aladár utca,2
Komjáth Aladár köz,1
Komjáthy Jenő út,1
Komjáthy utca,1
Komjáti Gyula utca,1
Komjáti utca,1
Kömlődi út,1
Komlódi utca,1
Komló dűlő,1
Komlóhát utca,2
Komlói út,18
Kömlői út,1
Komlói utca,1
Komlókerti utca,1
Komlókert utca,1
Komló köz,1
Komlósdi utca,1
Komlósi Ferenc utca,2
Komlósi út,5
Komlósi utca,1
Komlós Juci köz,1
Komlóskerti utca,2
Komló sor,1
Komlóssy köz,1
Komlóssy út,6
Komlóstető utca,8
Komlós utca,2
Komlószegi utca,1
Komló utca,8
Komlóvölgyi utca,5
Kommunista híd,1
Komócsin utca,1
Komócsin Zoltán utca,4
Komócsy utca,4
Komondor utca,2
Komor Marcell utca,10
Komoróczi utca,1
Kőmosó szurdok,4
Kompanik utca,1
Kompanik Zsófia utca,1
Komparija,10
Komp köz,1
Kompolthy utca,3
Kompolti út,1
Kompolti utca,1
Komposztáló út,2
Komp utca,7
Kőmunkás utca,1
Kőműveskert utca,1
Kőműves köz,4
Kőműves lépcső,2
Kőműves utca,14
Koncsik dűlő,1
Koncsorgó dűlő,1
Koncsorgó utca,1
Koncz dűlő,3
Koncz János utca,1
Koncz köz,1
Könd,1
Kondás pallósor,1
Kondás utca,1
Kondor Béla sétány,3
Kondor Béla utca,7
Kondor Ernő utca,3
Kondorfa utca,1
Kondorkert utca,1
Kondorosi út,13
Kondoroskert utca,1
Kondoros tér,4
Kondoros utca,1
Kondor út,5
Kondor utca,4
Kond utca,10
Könd utca,6
Kond vezér sor,1
Kond vezér utca,10
Kond vezér útja,1
Kongó dűlő,1
Konini utca,2
Konkoly köz,1
Konkoly-Thege Miklós út,16
Konkoly utca,2
Konrad Adenauer út,4
Konrád Ignác utca,2
Konrád utca,2
Konstantin tér,3
Konstantin utca,3
Kont bíró utca,2
Konth Miklós utca,2
Kont István utca,2
Konti utca,1
Köntösgát sor,2
Köntöskert utca,1
Kontra sor,1
Kontrássy köz,3
Kontrássy Sándor utca,3
Kontra utca,1
Kont utca,5
Kont vezér utca,4
Kontyfa utca,6
Kontyvirág utca,1
Kónya dűlő,1
Kónya Lajos utca,1
Kónya major,1
Konyári dűlő,7
Konyári út,2
Konyári utca,2
Kónyi utca,1
Könyök út,2
Könyök utca,47
Könyvelő utca,1
Könyves György utca,1
Könyves Kálmán körút,68
Könyves Kálmán köz,1
Könyves Kálmán tér,3
Könyves Kálmán út,8
Könyves Kálmán utca,64
Könyves Kámán utca,1
Könyves Tóth Kálmán utca,3
Könyves utca,5
Könyvkötő utca,2
Könyvtár köz,1
Könyvtár utca,1
Könyv utca,1
Konzervgyári dűlő,2
Konzervgyár utca,1
Kőolaj utca,4
Kőoltár utca,4
Koós utca,1
Kopácsai út,1
Kopácsi dűlő,3
Kopácsi István köz,1
Kopácsi István utca,1
Kopácsi Sándor sétány,1
Kopácsi utca,3
Kopács utca,1
Kopácsy József utca,6
Kőpad dűlő,2
Kőpad utca,1
Kopáncs utca,3
Kopanyica utca,1
Kopár köz,1
Kopár utca,2
Kopaszhegyi dűlő,2
Kopaszhegyi utca,1
Kopaszi gát,7
Kopaszka utca,1
Kopasz út,1
Kopasz utca,4
Kópé utca,1
Kópházi utca,2
Kopjafa utca,1
Kopja utca,8
Kopladi utca,1
Kopogó lépcső,1
Kopogó utca,3
Kopó köz,1
Kopolyai út,1
Kopolya köz,1
Kopolya utca,4
Koponári utca,1
Kőpor köz,6
Kőporos,4
Kőporosi pincesor,7
Kőporos tér,1
Kőporos utca,9
Kőpor utca,2
"Kopott jelzések, magas fű!",1
Kopó utca,1
Koppány köz,1
Koppány Márton utca,2
Koppánypart utca,2
Koppány sor,6
Koppány út,4
Koppány utca,34
Koppányvezér út,2
Koppány vezér utca,10
Koptik Odó utca,4
Köpüs utca,1
Köpüs-völgy,7
Korábbi 3-as,1
Korach Mór utca,1
Kőrakás park,9
Korall köz,1
Korall utca,2
Korányi fasor,5
Korányi Frigyes,2
Korányi Frigyes erdősor,1
Korányi Frigyes köz,1
Korányi Frigyes tér,4
Korányi Frigyes út,4
Korányi Frigyes utca,48
Korányi köz,3
Korányi Sándor út,1
Korányi Sándor utca,7
Korányi tér,1
Korányi utca,3
Korbonits utca,1
Korbuly utca,1
Korcsma dűlő,1
Korcsolyás Tamás utca,1
Korcsolyás utca,1
Korcsolya utca,2
Körcsönyepuszta,1
Korda Imre utca,1
Kordás János utca,2
Korda út,1
Korda utca,1
Korda Zoltán utca,1
Kordé utca,1
Kordon köz,1
Kordonos utca,1
Kordon út,2
Kordovánbokor,2
Kordován tér,3
Koren István köz,1
Kőrés lejtő,1
Körgát,33
Körgát sor,1
Körgát utca,7
Korhánközi dűlő,2
Korhánközi út,4
Korhány dűlő,5
Korhány-ér utca,1
Korhányi utca,1
Kórház fasor,3
Kórházköz,2
Kórház köz,11
Kórház-telep,1
Kórház tér,4
Kórház út,3
Kórház utca,103
Körhíd,1
Koriander köz,1
Koriander utca,1
Koriáth utca,1
Kőrises rét,1
Kőrisfa dűlő,1
Kőrisfa köz,1
Kőris fasor,4
Kőrisfa út,1
Kőrisfa utca,28
Kőrishegy utca,4
Kóris Kálmán utca,1
Kőris köz,3
Kőris utca,45
Kőris-völgy,3
Korizmics utca,3
Kőrizs út,1
Körkemence utca,1
Kör köz,1
Korlát lépcső,1
Korlát utca,1
Kormahegy utca,1
Kormányos utca,3
Kormányzási pályaszakasz,1
Körmendi köz,1
Körmenditanya Déli köz,1
Körmenditanya Északi köz,1
Körmenditanya sor,1
Körmendi út,30
Körmendi utca,8
Körmend utca,1
Körmendy prépost utca,4
Körmic dűlő,1
Körmici utca,1
Körmöcbányai utca,1
Körmöcbánya utca,5
Körmöci utca,8
Körmöc utca,2
Körmöcz utca,1
Körmöczy Zsuzsa lépcső,1
Kormorán utca,10
Kormosalma utca,1
Kormos István utca,4
Kormoskő sor,2
Kormos köz,1
Körmös utca,3
Kormuth dűlő,3
Kornéliakörte utca,1
Kornélia utca,4
Kornél utca,1
Kornis köz,1
Korniss Dezső sétány,2
Korniss István utca,2
Kornis utca,1
Kornya Mihály utca,2
Környebánya-1. utca,2
Környebánya-2. utca,2
Környebánya-6. utca,1
Környebánya-7. utca,1
Környebánya-8. utca,2
Környebánya-9. utca,1
Környei Attila utca,1
Környei köz,1
Környei út,7
Kornyikszőlő utca,1
Kornyitó,2
Kornyó dűlő,1
Koroda utca,1
Kóródy utca,2
Kórogyi utca,1
Kórógy sor,1
Kórógyszentgyörgy utca,1
Kórogy utca,1
Kórógy utca,3
Koroknai Dániel utca,1
Koroknaimajor,1
Koromházi út,1
Korompai út,1
Korompai utca,5
Korompay Lajos utca,4
Korom utca,1
Körömvirág köz,1
Körömvirág utca,7
Koronafürt utca,4
Korona köz,2
Koronaőr köz,2
Koronás híd,1
Koronás utca,1
Korona tér,3
Korona út,1
Korona utca,33
Koronázódomb,3
Koronázó tér,2
Koroncói út,9
Körönd,3
Korondi Béla utca,1
Korondi utca,4
Körönd tér,1
Korond utca,2
Körönd utca,1
Korongi híd,1
Korongi tér,2
Korongozó utca,1
Korong utca,7
Korong utcai aluljáró,1
Kőrösbánya utca,1
Körösfői Kriesch Aladár utca,1
Körösfő utca,1
Kőröshatárszéli dűlő,1
Kőrösháti utca,1
Kőröshegyi út,4
Kőröshegyi völgyhíd,2
Kőrösi Csoma Sándor köz,1
Kőrösi Csoma Sándor sétány,1
Kőrösi Csoma Sándor sor,1
Kőrösi Csoma Sándor tér,3
Kőrösi Csoma Sándor út,21
Körösi Csoma Sándor utca,4
Kőrösi Csoma Sándor utca,79
Kőrösi Csoma sétány,3
Kőrösi Csoma utca,3
Kőrösi Imre utca,1
Kőrösi köz,1
Kőrösi Sándor utca,2
Körösi út,1
Kőrösi út,33
Körösi utca,3
Kőrösi utca,13
Köröskényi utca,1
Körös köz,1
Kőrös köz,1
Körösladányi duzzasztómű,1
Körösladányi út,2
Körösladányi utca,2
Körösladány-Vésztő földút,3
Körösmezei utca,2
Kőrösmező utca,1
Kőrösparti utca,2
Köröspart utca,9
Kőrös sor,5
Kőrössy utca,1
Kőrösszeg utca,1
Köröstarcsai út,2
Köröstói utca,2
Körös utca,24
Kőrös utca,9
Körös völgyi kerékpárút,2
Kőrösvölgyi kerékpárút,3
Kőrösy József utca,2
Kőrösy László utca,3
Kóró utca,3
Kőrózsa utca,3
Korózs István út,2
Korpáddűlő,3
Korpás utca,1
Körpince köz,2
Körpince utca,3
Korponai utca,18
Korpona utca,4
Korponay utca,1
Korpos utca,1
Körsánc utca,1
Körsétaút,1
Korsó dűlő,2
Korsófölde utca,1
Korsós József utca,2
Korsós köz,1
Korsós sor,1
Korsós utca,5
Korsó út,1
Korsó utca,11
Körte dűlő,2
Körtefalapos,1
Körtefa sor,1
Körtefa út,1
Körtefa utca,26
Körte köz,3
Körtélyes utca,1
Körtélyvölgy utca,1
Kör tér,13
Körtés,17
Körtés dűlő,1
Körtés köz,1
Körte sor,4
Körtés út,1
Körtés utca,8
Körte út,2
Körte utca,65
Körtevirág utca,2
Körte völgy,1
Körtöltés,11
Körtöltés utca,19
Körtönye bükk utca,1
Körtönye utca,4
Körtvélyesi dűlő,1
Körtvélyesi út,1
Körtvélyesi utca,2
Körtvélyes köz,1
Körtvélyes sor,1
Körtvélyes tanösvény,2
Körtvélyes út,1
Körtvélyes utca,9
Körtvölgye utca,3
Kortyogó utca,1
Kortyoló utca,1
Kórus utca,4
Kör út,2
Kör utca,26
Körút út,1
Körút utca,2
Körvasút sor,9
Korvin Ottó utca,1
Korvin utca,10
Korzó utca,2
Körző utca,1
Kósa Pál sétány,6
Kósa Pál utca,1
Kosárfalu utca,1
Kosárfonó utca,7
Kosárhegyi út,2
Kosári utca,1
Kosárka sétány,1
Kosárprés utca,1
Kosár utca,8
Kósavölgyi út,2
Kosba,1
Kosbor,2
Kosbor köz,1
Kosbor utca,20
Kosciuszkó Tádé utca,5
Kosdi sor,3
Kosdi út,10
Kosdi utca,1
Kosd utca,1
Kösely utca,1
Kösialja utca,2
Kösipart dűlő,1
Koska köz,1
Kós Károly sétány,8
Kós Károly tér,11
Kós Károly út,1
Kós Károly utca,33
Kösöntyű utca,1
Kóspallagi út,12
Kossuth akna utca,2
Kossuth átjáró,1
Kossuth dűlő,4
Kossuthfalva tér,2
Kossuthfalva utca,3
Kossuth Ferenc utca,13
Kossuth híd,3
Kossuth kert,3
Kossuth Kertalja utca,1
Kossuth körút,9
Kossuth köz,27
Kossuth Lajos emlékpark,1
Kossuth Lajos gasse,3
Kossuth Lajos híd,1
Kossuth Lajos köz,14
Kossuth Lajos sugárút,36
Kossuth Lajos tér,115
Kossuth Lajos üdülőpart,11
Kossuth Lajos út,505
Kossuth Lajos utca,3724
Kossuth Lajos utcai kerékpárút - Belváros felé,1
Kossuth Lajos utcai kerékpárút - Pályaudvar felé,1
Kossuth László köz,1
Kossuth László utca,3
Kossuthliget út,1
Kossuth park,3
Kossuth sor,6
Kossuth szőlő kert,3
Kossuth tanya,1
Kossuthtelep,3
Kossuth telep,7
Kossuth tér,226
Kossuth Tsz. tanya,1
Kossuth út,229
Kossuth utca,1425
Kossuth Zsuzsanna tér,1
Kossuth Zsuzsánna utca,1
Kossuth zug,1
Kostolná,1
Kosutány Tamás utca,1
Kő szakadás,1
Kőszállító út,4
Kőszál utca,1
Kőszegfalvi utca,3
Kőszegi György út,2
Kőszegi Károly utca,1
Kőszegi út,23
Kőszegi utca,17
Kőszeg-Tömörd kerékpárút,1
Kőszeg utca,5
Kőszikla utca,6
Kőszirt utca,4
Köszméte utca,8
Koszna János utca,1
Koszorú lépcső,1
Koszorúslány utca,8
Köszörűs tér,1
Köszörűs utca,5
Koszorú tér,1
Koszorú út,1
Koszorú utca,25
Koszta József utca,7
Koszterna Gyula utca,1
Kosztolányi Dezső sétány,2
Kosztolányi Dezső tér,11
Kosztolányi Dezső út,4
Kosztolányi Dezső utca,55
Kosztolányi köz,2
Kosztolányi utca,8
Kótaji út,2
Kotányi János köz,1
Kőtár út,18
Kotász Károly utca,1
Kőtelek utca,1
Köteles dűlő,1
Kötelesi út,1
Kötelesi utca,2
Köteles utca,5
Kötélgyártó utca,1
Kötélgyár út,1
kötélhíd,1
Kőtelki út,4
Kötél köz,1
"kötélpálya, gyerek haladó",1
"kötélpálya, gyerek kezdő",1
"kötélpálya, haladó extrém",1
"kötélpálya, kezdő-középhaladó",1
Kötél utca,3
Kötélverő utca,3
Kötény utca,2
Kötésmalom út,1
Kötéssűrű utca,2
Kóti út,2
Kotlán Sándor utca,4
Kötőfék utca,1
Kötönyi út,1
Kötönyi utca,1
Kötöny utca,1
Kőtörő utca,3
Kötöttárugyári út,2
Kötő utca,18
